日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-01-02,292.1,288.7,297.1,286.5,23354069,6962383872.0,3.71,1.05,3.0,0.25
2024-01-03,286.1,292.7,293.7,284.5,20391718,6085147392.0,3.19,1.39,4.0,0.22
2024-01-04,296.5,290.9,296.5,290.1,20217430,6060645120.0,2.19,-0.61,-1.8,0.21
2024-01-05,287.5,284.3,288.7,281.7,23745017,6955882240.0,2.41,-2.27,-6.6,0.25
2024-01-08,286.5,280.1,286.7,277.3,16718452,4808945664.0,3.31,-1.48,-4.2,0.18
2024-01-09,278.1,275.7,281.3,275.5,16927478,4836417280.0,2.07,-1.57,-4.4,0.18
2024-01-10,274.1,272.3,277.3,268.9,19146068,5366550784.0,3.05,-1.23,-3.4,0.2
2024-01-11,272.7,279.5,284.5,272.1,20604580,5923778816.0,4.55,2.64,7.2,0.22
2024-01-12,277.7,280.5,285.1,276.9,15770055,4564846592.0,2.93,0.36,1.0,0.17
2024-01-15,282.1,281.5,285.9,279.7,16334371,4735733248.0,2.21,0.36,1.0,0.17
2024-01-16,275.9,274.5,280.9,272.1,22236094,6296367872.0,3.13,-2.49,-7.0,0.23
2024-01-17,269.1,266.7,270.9,264.3,36114167,9920052480.0,2.4,-2.84,-7.8,0.38
2024-01-18,266.7,269.7,271.3,263.3,24604079,6776282624.0,3.0,1.12,3.0,0.26
2024-01-19,267.1,263.3,274.7,260.3,26897479,7357692928.0,5.34,-2.37,-6.4,0.28
2024-01-22,262.7,254.3,263.7,252.3,33654810,8880717568.0,4.33,-3.42,-9.0,0.36
2024-01-23,258.9,264.1,270.3,255.3,35610787,9683595264.0,5.9,3.85,9.8,0.38
2024-01-24,271.7,273.9,276.5,264.3,33863638,9417935616.0,4.62,3.71,9.8,0.36
2024-01-25,277.1,282.9,284.1,272.9,34160783,9841462528.0,4.09,3.29,9.0,0.36
2024-01-26,280.3,274.9,282.3,273.3,24815795,7079875584.0,3.18,-2.83,-8.0,0.26
2024-01-29,278.1,274.1,280.5,271.5,20159014,5699930880.0,3.27,-0.29,-0.8,0.21
2024-01-30,269.3,265.9,272.1,265.1,21505998,5913403648.0,2.55,-2.99,-8.2,0.23
2024-01-31,265.9,262.7,270.1,260.5,20052974,5438242048.0,3.61,-1.2,-3.2,0.21
